rcc	statistic	p-value	archivo	wilcox_bool	holmsidak_p	holmsidak_bool	bonfer_p	bonfer_bool	fdrbh_p	fdrbh_bool
1	38175675.0	6.722145519906198e-66	7NoLat_UnionPairs	1	0.0	True	2.0771429656510153e-63	True	2.925553472747909e-65	True
2	40776175.0	4.728947265361311e-52	7NoLat_UnionPairs	1	0.0	True	1.461244704996645e-49	True	1.4050429855736973e-51	True
3	59177458.5	0.07775953650812555	7NoLat_UnionPairs	0	0.7851975214942574	False	1.0	False	0.08256940474574155	False
4	54862850.0	8.877395617906587e-09	7NoLat_UnionPairs	1	6.924366198202137e-07	True	2.7431152459331353e-06	True	1.1823772611780757e-08	True
5	35172074.5	2.073315941369383e-83	7NoLat_UnionPairs	1	0.0	True	6.406546258831394e-81	True	1.5253681568646175e-82	True
6	44247308.0	2.1023865320742098e-36	7NoLat_UnionPairs	1	0.0	True	6.496374384109308e-34	True	4.6402674172209345e-36	True
7	38055745.5	3.451846482192668e-66	7NoLat_UnionPairs	1	0.0	True	1.0666205629975343e-63	True	1.523743661425049e-65	True
8	54083736.5	9.141730490808546e-08	7NoLat_UnionPairs	1	6.4906078839355175e-06	True	2.8247947216598406e-05	True	1.1819224776819418e-07	True
9	60759504.0	6.548834140521189e-11	7NoLat_UnionPairs	1	5.566513361365821e-09	True	2.0235897494210472e-08	True	8.9937322196491e-11	True
10	57969893.0	0.00011140192685135596	7NoLat_UnionPairs	1	0.005222497321634267	True	0.03442319539706899	True	0.0001308866745135703	True
11	44689248.0	5.145905749931909e-36	7NoLat_UnionPairs	1	0.0	True	1.59008487672896e-33	True	1.1277197707297587e-35	True
12	50996213.5	1.537075131903689e-14	7NoLat_UnionPairs	1	1.4861445407632345e-12	True	4.749562157582399e-12	True	2.2298413885363376e-14	True
13	38150248.5	2.5158533547731225e-67	7NoLat_UnionPairs	1	0.0	True	7.773986866248948e-65	True	1.1602965472013356e-66	True
14	40037625.5	1.2068821114123525e-55	7NoLat_UnionPairs	1	0.0	True	3.7292657242641695e-53	True	3.88465179610851e-55	True
15	45778831.5	2.220251505229569e-30	7NoLat_UnionPairs	1	0.0	True	6.860577151159369e-28	True	4.3697943637957766e-30	True
17	61080764.0	0.41415941623179503	7NoLat_UnionPairs	0	0.9873241727118018	False	1.0	False	0.41712128521604064	False
18	60886312.0	0.06649849460248589	7NoLat_UnionPairs	0	0.7474772833226397	False	1.0	False	0.07085529252471773	False
19	60208416.0	0.0008210247967309544	7NoLat_UnionPairs	1	0.03152549322850129	True	0.2536966621898649	False	0.0009361500449810513	True
20	59809592.0	0.0009647951007328824	7NoLat_UnionPairs	1	0.035084407285654096	True	0.29812168612646067	False	0.0010920208283020537	True
21	55485388.0	3.938764412784548e-09	7NoLat_UnionPairs	1	3.1510110498622623e-07	True	1.2170782035504253e-06	True	5.291644363262718e-09	True
22	51701591.0	1.4905858831548782e-20	7NoLat_UnionPairs	1	0.0	True	4.6059103789485736e-18	True	2.349954274973762e-20	True
23	57835628.0	6.585716422577582e-07	7NoLat_UnionPairs	1	4.0830621670373546e-05	True	0.0002034986374576473	True	8.205590220066424e-07	True
24	54979372.5	1.4210646153508087e-07	7NoLat_UnionPairs	1	9.805298467058243e-06	True	4.391089661433999e-05	True	1.8220289051593357e-07	True
25	52398091.0	4.5901994090261884e-12	7NoLat_UnionPairs	1	4.0852932148283116e-10	True	1.4183716173890922e-09	True	6.417971119407656e-12	True
26	47314473.0	1.2504567033856579e-25	7NoLat_UnionPairs	1	0.0	True	3.863911213461683e-23	True	2.158609616459041e-25	True
27	35129055.5	5.215277722143421e-84	7NoLat_UnionPairs	1	0.0	True	1.6115208161423172e-81	True	4.0288020403557934e-83	True
28	42515108.5	7.337280185722192e-44	7NoLat_UnionPairs	1	0.0	True	2.2672195773881576e-41	True	1.873735187924097e-43	True
29	57076710.0	0.0014198360604383235	7NoLat_UnionPairs	1	0.048513303923800044	True	0.43872934267544195	False	0.001595379427910698	True
30	55918503.0	1.1510041485349128e-06	7NoLat_UnionPairs	1	6.905790405031809e-05	True	0.00035566028189728806	True	1.4226411275891522e-06	True
31	34752765.0	4.573493964077535e-86	7NoLat_UnionPairs	1	0.0	True	1.4132096348999584e-83	True	3.7189727234209433e-85	True
32	44968633.0	1.6197538655576844e-33	7NoLat_UnionPairs	1	0.0	True	5.005039444573245e-31	True	3.381783408495436e-33	True
33	40013496.0	9.263113551886659e-56	7NoLat_UnionPairs	1	0.0	True	2.862302087532978e-53	True	3.0450022207797636e-55	True
34	54545699.5	5.526021814498593e-07	7NoLat_UnionPairs	1	3.481334105259748e-05	True	0.00017075407406800651	True	6.913120407611599e-07	True
35	60932244.0	0.0005205832490569536	7NoLat_UnionPairs	1	0.021123184058926103	True	0.16086022395859867	False	0.0005979933976156084	True
36	57703354.5	3.1337906208928605e-05	7NoLat_UnionPairs	1	0.0015969817252540208	True	0.00968341301855894	True	3.7387695052351116e-05	True
37	39337872.0	5.8117705129136105e-62	7NoLat_UnionPairs	1	0.0	True	1.7958370884903057e-59	True	2.302355241654238e-61	True
38	47732447.0	4.502858587854853e-24	7NoLat_UnionPairs	1	0.0	True	1.3913833036471496e-21	True	7.520990830525133e-24	True
39	39604551.0	1.9165470651588182e-59	7NoLat_UnionPairs	1	0.0	True	5.922130431340748e-57	True	7.135096905229818e-59	True
40	40795367.5	7.36862957238706e-52	7NoLat_UnionPairs	1	0.0	True	2.2769065378676015e-49	True	2.1684824170167632e-51	True
41	42854099.5	2.930111134211676e-42	7NoLat_UnionPairs	1	0.0	True	9.05404340471408e-40	True	7.361010898141528e-42	True
43	61082840.0	0.4390726257361722	7NoLat_UnionPairs	0	0.9873241727118018	False	1.0	False	0.44049818620934156	False
44	60879392.0	0.06320361394114557	7NoLat_UnionPairs	0	0.7461662651740155	False	1.0	False	0.06757756646302415	False
45	60510410.0	0.021556035894845768	7NoLat_UnionPairs	1	0.43254043543214526	False	1.0	False	0.023453574265870924	True
46	58934335.5	4.147959056738829e-07	7NoLat_UnionPairs	1	2.7790945265171452e-05	True	0.00012817193485322982	True	5.274565220297523e-07	True
47	52978669.5	2.164132888351291e-17	7NoLat_UnionPairs	1	0.0	True	6.687170625005489e-15	True	3.26203445122219e-17	True
48	52260531.0	9.818724127778976e-19	7NoLat_UnionPairs	1	0.0	True	3.0339857554837037e-16	True	1.5169928777418518e-18	True
49	58803570.0	0.000341127826062203	7NoLat_UnionPairs	1	0.01422762988304449	True	0.10540849825322073	False	0.00039331529198962956	True
50	49991391.0	4.4296114365898084e-21	7NoLat_UnionPairs	1	0.0	True	1.3687499339062508e-18	True	7.091968569462438e-21	True
51	49959590.5	1.0336018358979892e-18	7NoLat_UnionPairs	1	0.0	True	3.193829672924787e-16	True	1.5889699865297445e-18	True
52	46062649.5	3.5653892129761365e-30	7NoLat_UnionPairs	1	0.0	True	1.1017052668096263e-27	True	6.885657917560164e-30	True
1	42267121.0	5.880955956431516e-45	7YesLat_UnionPairs	1	0.0	True	1.8172153905373384e-42	True	1.5400130428282528e-44	True
