Grupo1	Grupo2	Metrica	G1_variable_1	G1_variable_2	G1_variable_3	G1_variable_4	G2_variable_1	G2_variable_2	G2_variable_3	G2_variable_4	Wilcoxon_estadistico	Wilcoxon_valor-p	fdr_bh	p95-test
t_wa_recall_raw_3:1_it3	t_wa_recall_raw_3:1_it2	recall	it3	3:1	raw	[]	it2	3:1	raw	[]	11.0	0.6120898800892568	0.9939033294392523	Sin_diferencia
t_wa_recall_raw_3:1_it3	t_wa_recall_raw_3:1_it1	recall	it3	3:1	raw	[]	it1	3:1	raw	[]	16.0	0.84375	0.9939033294392523	Sin_diferencia
t_wa_recall_raw_3:1_it2	t_wa_recall_raw_3:1_it1	recall	it2	3:1	raw	[]	it1	3:1	raw	[]	18.0	1.0	1.0	Sin_diferencia
t_wa_recall_stand_3:1_it3	t_wa_recall_stand_3:1_it2	recall	it3	3:1	stand	[]	it2	3:1	stand	[]	12.0	0.4609375	0.9939033294392523	Sin_diferencia
t_wa_recall_stand_3:1_it3	t_wa_recall_stand_3:1_it1	recall	it3	3:1	stand	[]	it1	3:1	stand	[]	7.0	0.2367235706378573	0.9939033294392523	Sin_diferencia
t_wa_recall_stand_3:1_it2	t_wa_recall_stand_3:1_it1	recall	it2	3:1	stand	[]	it1	3:1	stand	[]	5.0	0.078125	0.9553328804347826	Sin_diferencia
t_wa_recall_norm_3:1_it3	t_wa_recall_norm_3:1_it2	recall	it3	3:1	norm	[]	it2	3:1	norm	[]	15.0	0.7421875	0.9939033294392523	Sin_diferencia
t_wa_recall_norm_3:1_it3	t_wa_recall_norm_3:1_it1	recall	it3	3:1	norm	[]	it1	3:1	norm	[]	18.0	1.0	1.0	Sin_diferencia
t_wa_recall_norm_3:1_it2	t_wa_recall_norm_3:1_it1	recall	it2	3:1	norm	[]	it1	3:1	norm	[]	10.0	0.3125	0.9939033294392523	Sin_diferencia
t_wa_recall_raw_1:1_it3	t_wa_recall_raw_1:1_it2	recall	it3	1:1	raw	[]	it2	1:1	raw	[]	12.0	0.4609375	0.9939033294392523	Sin_diferencia
t_wa_recall_raw_1:1_it3	t_wa_recall_raw_1:1_it1	recall	it3	1:1	raw	[]	it1	1:1	raw	[]	13.0	0.546875	0.9939033294392523	Sin_diferencia
t_wa_recall_raw_1:1_it2	t_wa_recall_raw_1:1_it1	recall	it2	1:1	raw	[]	it1	1:1	raw	[]	12.0	0.4609375	0.9939033294392523	Sin_diferencia
t_wa_recall_stand_1:1_it3	t_wa_recall_stand_1:1_it2	recall	it3	1:1	stand	[]	it2	1:1	stand	[]	8.0	0.1953125	0.9553328804347826	Sin_diferencia
t_wa_recall_stand_1:1_it3	t_wa_recall_stand_1:1_it1	recall	it3	1:1	stand	[]	it1	1:1	stand	[]	3.0	0.0629790512144552	0.9553328804347826	Sin_diferencia
t_wa_recall_stand_1:1_it2	t_wa_recall_stand_1:1_it1	recall	it2	1:1	stand	[]	it1	1:1	stand	[]	15.0	0.7421875	0.9939033294392523	Sin_diferencia
t_wa_recall_norm_1:1_it3	t_wa_recall_norm_1:1_it2	recall	it3	1:1	norm	[]	it2	1:1	norm	[]	14.0	0.640625	0.9939033294392523	Sin_diferencia
t_wa_recall_norm_1:1_it3	t_wa_recall_norm_1:1_it1	recall	it3	1:1	norm	[]	it1	1:1	norm	[]	17.0	0.9453125	0.9939033294392523	Sin_diferencia
t_wa_recall_norm_1:1_it2	t_wa_recall_norm_1:1_it1	recall	it2	1:1	norm	[]	it1	1:1	norm	[]	14.0	1.0	1.0	Sin_diferencia
t_wa_recall_raw_2:1_it3	t_wa_recall_raw_2:1_it2	recall	it3	2:1	raw	[]	it2	2:1	raw	[]	8.0	0.1953125	0.9553328804347826	Sin_diferencia
t_wa_recall_raw_2:1_it3	t_wa_recall_raw_2:1_it1	recall	it3	2:1	raw	[]	it1	2:1	raw	[]	7.5	0.1484375	0.9553328804347826	Sin_diferencia
