Grupo1	Grupo2	Metrica	G1_variable_1	G1_variable_2	G1_variable_3	G1_variable_4	G2_variable_1	G2_variable_2	G2_variable_3	G2_variable_4	Wilcoxon_estadistico	Wilcoxon_valor-p	fdr_bh	p95-test
t_wa_prc_yesSC_7_sum	t_wa_prc_yesSC_7_con	prc	sum	7	yesSC	[]	con	7	yesSC	[]	0.0	0.00390625	0.006510416666666667	Diferentes
t_wa_prc_noSC_7_sum	t_wa_prc_noSC_7_con	prc	sum	7	noSC	[]	con	7	noSC	[]	0.0	0.00390625	0.006510416666666667	Diferentes
t_wa_prc_yesSC_8_sum	t_wa_prc_yesSC_8_con	prc	sum	8	yesSC	[]	con	8	yesSC	[]	0.0	0.00390625	0.006510416666666667	Diferentes
t_wa_prc_noSC_8_sum	t_wa_prc_noSC_8_con	prc	sum	8	noSC	[]	con	8	noSC	[]	4.0	0.02734375	0.02734375	Diferentes
t_wa_precision_yesSC_7_sum	t_wa_precision_yesSC_7_con	precision	sum	7	yesSC	[]	con	7	yesSC	[]	1.0	0.0078125	0.012019230769230768	Diferentes
t_wa_precision_noSC_7_sum	t_wa_precision_noSC_7_con	precision	sum	7	noSC	[]	con	7	noSC	[]	3.0	0.01953125	0.02055921052631579	Diferentes
t_wa_precision_yesSC_8_sum	t_wa_precision_yesSC_8_con	precision	sum	8	yesSC	[]	con	8	yesSC	[]	0.0	0.00390625	0.006510416666666667	Diferentes
t_wa_precision_noSC_8_sum	t_wa_precision_noSC_8_con	precision	sum	8	noSC	[]	con	8	noSC	[]	0.0	0.00390625	0.006510416666666667	Diferentes
t_wa_recall_yesSC_7_sum	t_wa_recall_yesSC_7_con	recall	sum	7	yesSC	[]	con	7	yesSC	[]	2.0	0.01171875	0.015625	Diferentes
t_wa_recall_noSC_7_sum	t_wa_recall_noSC_7_con	recall	sum	7	noSC	[]	con	7	noSC	[]	3.0	0.01953125	0.02055921052631579	Diferentes
t_wa_recall_yesSC_8_sum	t_wa_recall_yesSC_8_con	recall	sum	8	yesSC	[]	con	8	yesSC	[]	0.0	0.00390625	0.006510416666666667	Diferentes
t_wa_recall_noSC_8_sum	t_wa_recall_noSC_8_con	recall	sum	8	noSC	[]	con	8	noSC	[]	0.0	0.00390625	0.006510416666666667	Diferentes
t_wa_f_yesSC_7_sum	t_wa_f_yesSC_7_con	f	sum	7	yesSC	[]	con	7	yesSC	[]	2.0	0.01171875	0.015625	Diferentes
t_wa_f_noSC_7_sum	t_wa_f_noSC_7_con	f	sum	7	noSC	[]	con	7	noSC	[]	3.0	0.01953125	0.02055921052631579	Diferentes
t_wa_f_yesSC_8_sum	t_wa_f_yesSC_8_con	f	sum	8	yesSC	[]	con	8	yesSC	[]	0.0	0.00390625	0.006510416666666667	Diferentes
t_wa_f_noSC_8_sum	t_wa_f_noSC_8_con	f	sum	8	noSC	[]	con	8	noSC	[]	0.0	0.00390625	0.006510416666666667	Diferentes
t_wa_roc_yesSC_7_sum	t_wa_roc_yesSC_7_con	roc	sum	7	yesSC	[]	con	7	yesSC	[]	0.0	0.00390625	0.006510416666666667	Diferentes
t_wa_roc_noSC_7_sum	t_wa_roc_noSC_7_con	roc	sum	7	noSC	[]	con	7	noSC	[]	0.0	0.00390625	0.006510416666666667	Diferentes
t_wa_roc_yesSC_8_sum	t_wa_roc_yesSC_8_con	roc	sum	8	yesSC	[]	con	8	yesSC	[]	0.0	0.00390625	0.006510416666666667	Diferentes
t_wa_roc_noSC_8_sum	t_wa_roc_noSC_8_con	roc	sum	8	noSC	[]	con	8	noSC	[]	3.0	0.01953125	0.02055921052631579	Diferentes
