Grupo1	Grupo2	Metrica	G1_variable_1	G1_variable_2	G1_variable_3	G1_variable_4	G2_variable_1	G2_variable_2	G2_variable_3	G2_variable_4	Wilcoxon_estadistico	Wilcoxon_valor-p	fdr_bh	p95-test
t_wa_prc_yesSC_7_sum	t_wa_prc_noSC_7_sum	prc	sum	7	yesSC	[]	sum	7	noSC	[]	19.5	0.8203125	0.91015625	Sin_diferencia
t_wa_prc_yesSC_8_sum	t_wa_prc_noSC_8_sum	prc	sum	8	yesSC	[]	sum	8	noSC	[]	21.0	0.91015625	0.91015625	Sin_diferencia
t_wa_prc_yesSC_7_con	t_wa_prc_noSC_7_con	prc	con	7	yesSC	[]	con	7	noSC	[]	19.0	0.734375	0.91015625	Sin_diferencia
t_wa_prc_yesSC_8_con	t_wa_prc_noSC_8_con	prc	con	8	yesSC	[]	con	8	noSC	[]	13.0	0.30078125	0.91015625	Sin_diferencia
t_wa_precision_yesSC_7_sum	t_wa_precision_noSC_7_sum	precision	sum	7	yesSC	[]	sum	7	noSC	[]	16.0	0.49609375	0.91015625	Sin_diferencia
t_wa_precision_yesSC_8_sum	t_wa_precision_noSC_8_sum	precision	sum	8	yesSC	[]	sum	8	noSC	[]	21.0	0.91015625	0.91015625	Sin_diferencia
t_wa_precision_yesSC_7_con	t_wa_precision_noSC_7_con	precision	con	7	yesSC	[]	con	7	noSC	[]	13.0	0.4838398513935682	0.91015625	Sin_diferencia
t_wa_precision_yesSC_8_con	t_wa_precision_noSC_8_con	precision	con	8	yesSC	[]	con	8	noSC	[]	18.5	0.65234375	0.91015625	Sin_diferencia
t_wa_recall_yesSC_7_sum	t_wa_recall_noSC_7_sum	recall	sum	7	yesSC	[]	sum	7	noSC	[]	17.0	0.5703125	0.91015625	Sin_diferencia
t_wa_recall_yesSC_8_sum	t_wa_recall_noSC_8_sum	recall	sum	8	yesSC	[]	sum	8	noSC	[]	20.0	0.8203125	0.91015625	Sin_diferencia
t_wa_recall_yesSC_7_con	t_wa_recall_noSC_7_con	recall	con	7	yesSC	[]	con	7	noSC	[]	15.0	0.6744240722352938	0.91015625	Sin_diferencia
t_wa_recall_yesSC_8_con	t_wa_recall_noSC_8_con	recall	con	8	yesSC	[]	con	8	noSC	[]	13.0	0.4838398513935682	0.91015625	Sin_diferencia
t_wa_f_yesSC_7_sum	t_wa_f_noSC_7_sum	f	sum	7	yesSC	[]	sum	7	noSC	[]	17.0	0.5703125	0.91015625	Sin_diferencia
t_wa_f_yesSC_8_sum	t_wa_f_noSC_8_sum	f	sum	8	yesSC	[]	sum	8	noSC	[]	20.0	0.8203125	0.91015625	Sin_diferencia
t_wa_f_yesSC_7_con	t_wa_f_noSC_7_con	f	con	7	yesSC	[]	con	7	noSC	[]	15.0	0.6744240722352938	0.91015625	Sin_diferencia
t_wa_f_yesSC_8_con	t_wa_f_noSC_8_con	f	con	8	yesSC	[]	con	8	noSC	[]	13.0	0.4838398513935682	0.91015625	Sin_diferencia
t_wa_roc_yesSC_7_sum	t_wa_roc_noSC_7_sum	roc	sum	7	yesSC	[]	sum	7	noSC	[]	19.0	0.734375	0.91015625	Sin_diferencia
t_wa_roc_yesSC_8_sum	t_wa_roc_noSC_8_sum	roc	sum	8	yesSC	[]	sum	8	noSC	[]	21.0	0.91015625	0.91015625	Sin_diferencia
t_wa_roc_yesSC_7_con	t_wa_roc_noSC_7_con	roc	con	7	yesSC	[]	con	7	noSC	[]	18.0	0.65234375	0.91015625	Sin_diferencia
t_wa_roc_yesSC_8_con	t_wa_roc_noSC_8_con	roc	con	8	yesSC	[]	con	8	noSC	[]	11.0	0.203125	0.91015625	Sin_diferencia
