Grupo1	Grupo2	Metrica	G1_variable_1	G1_variable_2	G1_variable_3	G1_variable_4	G2_variable_1	G2_variable_2	G2_variable_3	G2_variable_4	Wilcoxon_estadistico	Wilcoxon_valor-p
t_wa_prc_yesSC_7_sum	t_wa_prc_yesSC_7_con	prc	sum	7	yesSC	[]	con	7	yesSC	[]	0.0	0.00390625
t_wa_prc_yesSC_7_sum	t_wa_prc_yesSC_8_sum	prc	sum	7	yesSC	[]	sum	8	yesSC	[]	13.5	0.5281061253470647
t_wa_prc_yesSC_7_sum	t_wa_prc_yesSC_8_con	prc	sum	7	yesSC	[]	con	8	yesSC	[]	0.0	0.00390625
t_wa_prc_yesSC_7_sum	t_wa_prc_noSC_7_sum	prc	sum	7	yesSC	[]	sum	7	noSC	[]	19.5	0.8203125
t_wa_prc_yesSC_7_sum	t_wa_prc_noSC_7_con	prc	sum	7	yesSC	[]	con	7	noSC	[]	0.0	0.00390625
t_wa_prc_yesSC_7_sum	t_wa_prc_noSC_8_sum	prc	sum	7	yesSC	[]	sum	8	noSC	[]	20.5	0.8203125
t_wa_prc_yesSC_7_sum	t_wa_prc_noSC_8_con	prc	sum	7	yesSC	[]	con	8	noSC	[]	4.0	0.02734375
t_wa_prc_yesSC_7_con	t_wa_prc_yesSC_8_sum	prc	con	7	yesSC	[]	sum	8	yesSC	[]	0.0	0.00390625
t_wa_prc_yesSC_7_con	t_wa_prc_yesSC_8_con	prc	con	7	yesSC	[]	con	8	yesSC	[]	14.0	0.5754030229127536
t_wa_prc_yesSC_7_con	t_wa_prc_noSC_7_sum	prc	con	7	yesSC	[]	sum	7	noSC	[]	1.0	0.0078125
t_wa_prc_yesSC_7_con	t_wa_prc_noSC_7_con	prc	con	7	yesSC	[]	con	7	noSC	[]	19.0	0.734375
t_wa_prc_yesSC_7_con	t_wa_prc_noSC_8_sum	prc	con	7	yesSC	[]	sum	8	noSC	[]	1.0	0.0078125
t_wa_prc_yesSC_7_con	t_wa_prc_noSC_8_con	prc	con	7	yesSC	[]	con	8	noSC	[]	10.0	0.1640625
t_wa_prc_yesSC_8_sum	t_wa_prc_yesSC_8_con	prc	sum	8	yesSC	[]	con	8	yesSC	[]	0.0	0.00390625
t_wa_prc_yesSC_8_sum	t_wa_prc_noSC_7_sum	prc	sum	8	yesSC	[]	sum	7	noSC	[]	8.0	0.1614294623670833
t_wa_prc_yesSC_8_sum	t_wa_prc_noSC_7_con	prc	sum	8	yesSC	[]	con	7	noSC	[]	0.0	0.00390625
t_wa_prc_yesSC_8_sum	t_wa_prc_noSC_8_sum	prc	sum	8	yesSC	[]	sum	8	noSC	[]	21.0	0.91015625
t_wa_prc_yesSC_8_sum	t_wa_prc_noSC_8_con	prc	sum	8	yesSC	[]	con	8	noSC	[]	1.0	0.0078125
t_wa_prc_yesSC_8_con	t_wa_prc_noSC_7_sum	prc	con	8	yesSC	[]	sum	7	noSC	[]	0.0	0.00390625
t_wa_prc_yesSC_8_con	t_wa_prc_noSC_7_con	prc	con	8	yesSC	[]	con	7	noSC	[]	21.0	0.91015625
t_wa_prc_yesSC_8_con	t_wa_prc_noSC_8_sum	prc	con	8	yesSC	[]	sum	8	noSC	[]	0.0	0.00390625
t_wa_prc_yesSC_8_con	t_wa_prc_noSC_8_con	prc	con	8	yesSC	[]	con	8	noSC	[]	13.0	0.30078125
t_wa_prc_noSC_7_sum	t_wa_prc_noSC_7_con	prc	sum	7	noSC	[]	con	7	noSC	[]	0.0	0.00390625
t_wa_prc_noSC_7_sum	t_wa_prc_noSC_8_sum	prc	sum	7	noSC	[]	sum	8	noSC	[]	16.0	0.779434528427275
t_wa_prc_noSC_7_sum	t_wa_prc_noSC_8_con	prc	sum	7	noSC	[]	con	8	noSC	[]	0.0	0.00390625
t_wa_prc_noSC_7_con	t_wa_prc_noSC_8_sum	prc	con	7	noSC	[]	sum	8	noSC	[]	0.0	0.00390625
t_wa_prc_noSC_7_con	t_wa_prc_noSC_8_con	prc	con	7	noSC	[]	con	8	noSC	[]	16.0	0.49609375
t_wa_prc_noSC_8_sum	t_wa_prc_noSC_8_con	prc	sum	8	noSC	[]	con	8	noSC	[]	4.0	0.02734375
t_wa_precision_yesSC_7_sum	t_wa_precision_yesSC_7_con	precision	sum	7	yesSC	[]	con	7	yesSC	[]	1.0	0.0078125
t_wa_precision_yesSC_7_sum	t_wa_precision_yesSC_8_sum	precision	sum	7	yesSC	[]	sum	8	yesSC	[]	12.0	0.4008141693829344
t_wa_precision_yesSC_7_sum	t_wa_precision_yesSC_8_con	precision	sum	7	yesSC	[]	con	8	yesSC	[]	1.0	0.0078125
t_wa_precision_yesSC_7_sum	t_wa_precision_noSC_7_sum	precision	sum	7	yesSC	[]	sum	7	noSC	[]	16.0	0.49609375
t_wa_precision_yesSC_7_sum	t_wa_precision_noSC_7_con	precision	sum	7	yesSC	[]	con	7	noSC	[]	0.0	0.00390625
t_wa_precision_yesSC_7_sum	t_wa_precision_noSC_8_sum	precision	sum	7	yesSC	[]	sum	8	noSC	[]	20.5	0.91015625
t_wa_precision_yesSC_7_sum	t_wa_precision_noSC_8_con	precision	sum	7	yesSC	[]	con	8	noSC	[]	1.0	0.0078125
t_wa_precision_yesSC_7_con	t_wa_precision_yesSC_8_sum	precision	con	7	yesSC	[]	sum	8	yesSC	[]	0.0	0.00390625
t_wa_precision_yesSC_7_con	t_wa_precision_yesSC_8_con	precision	con	7	yesSC	[]	con	8	yesSC	[]	16.5	0.8334336202223243
t_wa_precision_yesSC_7_con	t_wa_precision_noSC_7_sum	precision	con	7	yesSC	[]	sum	7	noSC	[]	1.5	0.01171875
t_wa_precision_yesSC_7_con	t_wa_precision_noSC_7_con	precision	con	7	yesSC	[]	con	7	noSC	[]	13.0	0.4838398513935682
t_wa_precision_yesSC_7_con	t_wa_precision_noSC_8_sum	precision	con	7	yesSC	[]	sum	8	noSC	[]	4.0	0.02734375
t_wa_precision_yesSC_7_con	t_wa_precision_noSC_8_con	precision	con	7	yesSC	[]	con	8	noSC	[]	17.0	0.8886378608950078
t_wa_precision_yesSC_8_sum	t_wa_precision_yesSC_8_con	precision	sum	8	yesSC	[]	con	8	yesSC	[]	0.0	0.00390625
t_wa_precision_yesSC_8_sum	t_wa_precision_noSC_7_sum	precision	sum	8	yesSC	[]	sum	7	noSC	[]	20.0	0.8203125
t_wa_precision_yesSC_8_sum	t_wa_precision_noSC_7_con	precision	sum	8	yesSC	[]	con	7	noSC	[]	0.0	0.00390625
t_wa_precision_yesSC_8_sum	t_wa_precision_noSC_8_sum	precision	sum	8	yesSC	[]	sum	8	noSC	[]	21.0	0.91015625
t_wa_precision_yesSC_8_sum	t_wa_precision_noSC_8_con	precision	sum	8	yesSC	[]	con	8	noSC	[]	0.0	0.00390625
t_wa_precision_yesSC_8_con	t_wa_precision_noSC_7_sum	precision	con	8	yesSC	[]	sum	7	noSC	[]	1.0	0.0078125
t_wa_precision_yesSC_8_con	t_wa_precision_noSC_7_con	precision	con	8	yesSC	[]	con	7	noSC	[]	15.0	0.6744240722352938
t_wa_precision_yesSC_8_con	t_wa_precision_noSC_8_sum	precision	con	8	yesSC	[]	sum	8	noSC	[]	1.0	0.0078125
